PIN,Address
17-18-240-009-0000,Wood St. to Hermitage Ave.
17-18-134-007-0000,Between Hoyne & Damen
17-18-134-002-0000,Between Hoyne & Damen
17-18-131-020-0000,Between Hoyne & Leavitt
17-18-131-005-0000,Between Hoyne & Leavitt
17-18-128-006-0000,Between Claremont & Oakley
17-18-128-005-0000,Between Claremont & Oakley
17-18-128-004-0000,Between Claremont & Oakley
17-18-128-003-0000,Between Claremont & Oakley
17-18-127-021-0000,Claremont Ave. to Western
17-18-127-007-0000,Between Western & Claremont
17-18-127-001-0000,Between Western & Claremont
17-17-500-031-8001,Between Peoria & Halsted
17-17-500-030-0000,Between Sangamon & Peoria
17-17-500-028-0000,Between Peoria & Halsted
17-17-500-027-0000,Between Peoria & Halsted
17-17-500-026-0000,Between Ashland & Laflin St.
17-17-500-022-0000,Between Peoria & Halsted
17-17-500-020-0000,Between Sangamon & Peoria
17-17-500-018-0000,Between Aberdeen St. & Sangamon
17-17-500-017-0000,Between Aberdeen St. & Sangamon
17-17-500-016-0000,Between Aberdeen St. & Sangamon
17-17-500-015-0000,Between Aberdeen St. & Sangamon
17-17-500-014-0000,Between Aberdeen St. & Sangamon
17-17-500-013-0000,Between Aberdeen St. & Sangamon
17-17-500-012-0000,Between Aberdeen & Center
17-17-500-011-0000,Between Center & Throop
17-17-500-010-0000,Between Center & Throop
17-17-500-009-0000,Between Throop & Loomis
17-17-500-008-0000,Between Loomis St & Laflin
17-17-500-007-0000,Between Loomis St & Laflin
17-17-500-006-0000,Between Loomis St & Laflin
17-17-500-005-0000,Between Loomis St & Laflin
17-17-500-004-0000,Between Ashland & Laflin St.
17-17-500-003-0000,Between Ashland & Laflin St.
17-17-500-002-0000,Between Ashland & Laflin St.
17-16-500-039-0000,Between Van Buren & Tilden St.
17-16-500-031-0000,321 S. Franklin St.
17-16-500-011-0000,Between Van Buren & Tilden St.
17-16-500-009-0000,Between Gladys & Van Buren
17-16-500-008-0000,Between Van Buren & Tilden St.
17-15-500-004-0000,ROW north side Roosevelt Rd.
17-15-500-003-0000,ROW north side Roosevelt Rd.
17-15-500-002-0000,ROW South side Harrison St at Holden Court
17-15-500-001-0000,ROW South side Harrison St at Holden Court
17-15-304-018-0000,NE corner of Holden & Eldridge between State & Wabash
17-15-300-034-8001,Rear of 600 S. Wabash Ave. (Green Line)
17-09-451-023-0000,Red and Blue Line subways
17-09-451-022-0000,Red and Blue Line subways
17-09-451-021-0000,Red and Blue Line subways
17-09-451-020-0000,Red and Blue Line subways
17-09-331-028-0000,125-129 N. Desplaines
17-09-323-010-8002,567 West Lake Street
17-09-323-009-8002,567 West Lake Street
17-09-251-012-8001,429 N. Franklin
17-09-245-013-0000,152-58 W. Illinois St.
17-09-245-011-0000,152-58 W. Illinois St.
17-08-435-019-0000,120 N. Racine Ave.
17-08-435-010-0000,120 N. Racine Ave.
17-08-435-009-0000,120 N. Racine Ave.
17-08-435-008-0000,120 N. Racine Ave.
17-08-435-004-0000,120 N. Racine Ave.
17-08-435-003-0000,120 N. Racine Ave.
17-08-435-002-0000,120 N. Racine Ave.
17-08-435-001-0000,120 N. Racine Ave.
17-08-331-024-0000,120 N. Racine Ave.
17-08-331-023-0000,120 N. Racine Ave.
17-07-434-025-0000,Between Warren Blvd. and Madison St.
17-07-434-017-0000,Between Warren & Madison St. ROW
17-07-429-029-0000,1717 W. Washington
17-07-429-011-0000,Between Washington & Warren ROW
17-07-429-003-0000,Between Washington & Warren ROW
17-07-402-022-0000,Between Carroll & Kinzie
17-07-312-046-0000,201 N. Western Ave. & Lake St.
17-07-312-045-0000,201 N. Western Ave. & Lake St.
17-07-312-044-0000,201 N. Western Ave. & Lake St.
17-07-312-043-0000,201 N. Western Ave. & Lake St.
17-07-239-017-0000,Between Hubbard & Kinzie Sts.
17-06-500-071-0000,Between North Ave & Damen Ave. ROW
17-06-500-070-8001,Between Damen Ave. & Honore St. (Girard St.)
17-06-500-054-0000,Between Ellen & Moorman Sts.
17-06-500-044-0000,Between Ellen & Moorman Sts.
17-06-500-042-0000,Between Wood to Ellen Sts.
17-06-500-041-0000,Between Wood to Ellen Sts.
17-06-500-039-0000,Between Wolcott & Wood Sts.
17-06-500-038-0000,Between Wolcott & Wood Sts.
17-06-500-037-0000,Between Evergreen & Wolcott Sts.
17-06-500-036-0000,Between Evergreen & Wolcott Sts.
17-06-500-007-0000,Between Honore St. & Evergreen St. (Girard St.)
17-06-500-005-0000,Between Damen Ave. & Honore St. (Girard St.)
17-06-500-004-0000,Between Damen Ave. & Honore St. (Girard St.)
17-06-500-002-0000,Between North Ave & Damen Ave. ROW
17-06-430-045-0000,Between Walton & Pearson Sts ROW
17-06-418-061-0000,Between Cortez & Augusta Streets
17-06-410-056-0000,Bet. Haddon & Cortez
17-06-105-041-0000,Between North Ave & Damen Ave. ROW
17-05-500-045-0000,Between Evergreen & Wolcott Sts.
17-05-407-002-0000,
17-05-403-003-0000,
17-05-403-002-0000,"901 W. Division St., Chgo"
17-05-308-097-0000,1078 N. Milwaukee Ave.
17-04-500-072-0000,"Chicago Ave., to Institute Pl."
17-04-500-071-0000,"Orleans St., north of Schiller St."
17-04-500-070-8001,Division to Scott St.
17-04-500-069-8001,Division to Scott St.
17-04-500-068-8001,Division to Scott St.
17-04-500-065-8001,E. Side of N. Orleans St/ bet. Schiller & North Ave.
17-04-500-064-8001,Scott to Goethe
17-04-500-063-8001,Institute Pl. to Chestnut St.
17-04-500-062-8001,Institute Pl. to Chestnut St.
17-04-500-061-0000,Chicago Avenue to Institute Place
17-04-500-058-0000,Hill St. to Elm St.
17-04-500-055-0000,Chicago Avenue to Institute Place
17-04-500-051-0000,Chestnut St. to Locust St.
17-04-500-050-0000,Chestnut St. to Locust St.
17-04-500-049-0000,Locust St. to Walton St.
17-04-500-048-0000,Locust St. to Walton St.
17-04-500-047-0000,Walton St. to Oak St.
17-04-500-046-0000,Oak St. to Wendell St.
17-04-500-045-0000,Oak St. to Wendell St.
17-04-500-044-0000,Wendell St. to Hill St.
17-04-500-043-0000,North side Hill St.
17-04-500-041-0000,Elm St. to Division St.
17-04-500-040-0000,Elm St. to Division St.
17-04-500-039-0000,Elm St. to Division St.
17-04-500-034-0000,Goethe St. to Evergreen Ave.
17-04-500-033-0000,Goethe St. to Evergreen Ave.
17-04-500-032-0000,Goethe St. to Evergreen Ave.
17-04-500-031-0000,Evergreen Ave. to Schiller St.
17-04-500-030-0000,Evergreen Ave. to Schiller St.
17-04-500-029-0000,Schiller Street to North Ave.
17-04-500-028-0000,Schiller Street to North Ave.
17-04-500-027-0000,Schiller Street to North Ave.
17-04-500-026-0000,Schiller Street to North Ave.
17-04-500-020-0000,Schiller Street to North Ave.
17-04-500-019-0000,Schiller Street to North Ave.
17-04-500-018-0000,Between Orleans St. & Sedgwick St. So of North Ave.
17-04-500-017-0000,Sedgwick St. to Hudson St. So of North Ave.
17-04-500-016-0000,1537 N. Hudson St. (inside lot)
17-04-500-015-0000,Hudson Ave. to Cleveland Ave. So of North Ave.
17-04-500-014-0000,Hudson Ave. to Cleveland Ave. So of North Ave.
17-04-500-013-0000,Cleveland Ave. to Mohawk St. So of North Ave.
17-04-500-012-0000,Cleveland Ave. to Mohawk St. So of North Ave.
17-04-500-011-0000,Mohawk St. to Larrabee St. So of North Ave.
17-04-500-010-0000,Mohawk St. to Larrabee St. So of North Ave.
17-04-500-009-0000,Larrabee St. to Frontier St. So. Of North Ave.
17-04-500-007-0000,Frontier St. to Orchard St. So. Of North Ave.
17-04-500-006-0000,Frontier St. to Orchard St. So. Of North Ave.
17-04-500-005-0000,Orchard St. to Burling St So. Of North Avenue.
17-04-500-004-0000,Orchard St. to Burling St So. Of North Avenue.
17-04-500-003-0000,Burling Street to North Avenue
17-04-500-002-0000,Burling Street to North Avenue
17-04-500-001-0000,Burling Street to North Avenue
17-04-416-004-0000,"321 West Hill St., 60610"
17-04-220-060-0000,West Scott Street
16-36-428-008-0000,2410 W. Pershing Road
16-36-428-007-0000,2409 W. Pershing Road
16-36-428-006-0000,2408 W. Pershing Road
16-35-401-012-0000,36th & Kedzie
16-35-401-011-0000,36th & Kedzie
16-35-401-010-0000,36th & Kedzie
16-34-203-044-0000,3100-10 SW Corner of S. Komensky Ave. & W. 31st St.
16-28-222-042-0000,"S. Cicero Ave. & 24th Pl., Cicero"
16-28-222-038-0000,"S. Cicero Ave. & 24th Pl., Cicero"
16-26-101-012-0000,W. Ogden Ave. & W. Cermak Rd.
16-24-505-025-0000,S. Westrn Ave. to PCC & St. L. RR
16-24-505-024-0000,S. Westrn Ave. to PCC & St. L. RR
16-24-505-023-0000,S. Westrn Ave. to PCC & St. L. RR
16-24-505-022-0000,S. Westrn Ave. to PCC & St. L. RR
16-24-505-021-0000,S. Westrn Ave. to PCC & St. L. RR
16-24-505-020-0000,S. Westrn Ave. to PCC & St. L. RR
16-24-505-019-0000,S. Westrn Ave. to PCC & St. L. RR
16-24-505-018-0000,PCC & St. Louis RR & Rockwell St.
16-24-505-016-0000,PCC & St. Louis RR & Rockwell St.
16-24-505-015-0000,S. Rockwell St. to Washtenaw Ave.
16-24-505-014-0000,S. Washtenaw Ave to Fairfield Ave.
16-24-505-013-0000,S. Washtenaw Ave to Fairfield Ave.
16-24-505-012-0000,S. Fairfield Ave. to S. California Ave.
16-24-505-011-0000,S. Fairfield Ave. to S. California Ave.
16-24-505-010-0000,S. California to Marshall Blvd.
16-24-505-009-0000,S. California to Marshall Blvd.
16-24-505-008-0000,Marshall Blvd. to Albany Ave.
16-24-505-007-0000,Marshall Blvd. to Albany Ave.
16-24-505-006-0000,Marshall Blvd. to Albany Ave.
16-24-505-005-0000,Albany Ave. to Troy Ave.
16-24-505-004-0000,Albany Ave. to Troy Ave.
16-24-505-003-0000,Albany Ave. to Troy Ave.
16-24-505-002-0000,S. Troy to S. Kedzie Ave.
16-24-505-001-0000,S. Troy to S. Kedzie Ave.
16-24-419-023-8001,Cullerton E. of Rockwell between Cullerton & 21st St.
16-24-308-045-0000,2012 S. California Ave.
16-24-308-044-0000,2008 S. California Ave.
16-23-500-036-8001,Between Lawndale & Ridgeway
16-23-500-033-8001,1906-08 S. Central Park
16-23-500-030-0000,S. Kedzie to S. Sawyer
16-23-500-029-0000,S. Kedzie to S. Sawyer
16-23-500-028-0000,S. Sawyer to S. Spaulding
16-23-500-027-0000,S. Sawyer to S. Spaulding
16-23-500-026-0000,s. Spaulding to S. Christiana
16-23-500-025-0000,s. Spaulding to S. Christiana
16-23-500-024-0000,s. Spaulding to S. Christiana
16-23-500-023-0000,S. Christiana Ave. to Homan Ave.
16-23-500-022-0000,S. Christiana Ave. to Homan Ave.
16-23-500-021-0000,S. Homan Ave. to Trumbell Ave.
16-23-500-020-0000,S. Homan Ave. to Trumbell Ave.
16-23-500-019-0000,S. Trumbell Ave to St. Louis Ave.
16-23-500-018-0000,S. Trumbell Ave to St. Louis Ave.
16-23-500-017-0000,S. St. Louis Ave to S. Drake Ave.
16-23-500-016-0000,S. St. Louis Ave to S. Drake Ave.
16-23-500-015-0000,S. Drake Ave. to Central Park Ave.
16-23-500-014-0000,S. Drake Ave. to Central Park Ave.
16-23-500-012-0000,NE corner Lawndale & Ogden Ave.
16-23-500-010-0000,East side of Ridgeway Ave.
16-23-500-009-0000,Ridgeway Ave to Hamlin Ave.
16-23-500-008-0000,Ridgeway Ave to Hamlin Ave.
16-23-500-007-0000,S. Hamlin Ave. to Avers Ave.
16-23-500-006-0000,S. Hamlin Ave. to Avers Ave.
16-23-500-005-0000,S. Avers Ave. to Springfield
16-23-500-005-0000,Springfield to Avers
16-23-500-004-0000,S. Avers Ave. to Springfield
16-23-500-004-0000,Springfield to Avers
16-23-500-003-0000,S. Springfield Ave. to Harding
16-23-500-002-0000,S. Harding Ave. to Pulaski Rd.
16-23-500-001-0000,S. Harding Ave. to Pulaski Rd.
16-23-422-016-0000,1941 S. Sawyer Ave.
16-23-421-037-0000,1940 S. Sawyer Ave.
16-23-421-014-0000,1939 S. Spaulding Ave.
16-23-416-044-0000,1944 S. St. Louis
16-23-416-011-0000,1931 S. Drake Ave.
16-23-415-071-0000,3555 West Ogden Ave.
16-23-327-008-0000,3601-11 W. Ogden Ave.
16-23-327-005-0000,3613 W. Ogden Ave.
16-23-322-036-0000,S. Lawndale to Ridgeway Ave.
16-23-318-036-0000,1932 S. Springfield
16-23-318-007-0000,1937 S. Harding Ave.
16-23-316-021-0000,1920 S. Harding Ave.
16-23-314-076-0000,3654 W. Ogden Ave.
16-23-314-074-0000,3656-58 W. Ogden Ave.
16-23-314-072-0000,3662 W. Ogden Ave.
16-22-500-015-0000,S. Kilbourn to Kenton Ave.
16-22-500-013-0000,S. Kostner to S. Kilbourn
16-22-500-011-0000,S. Pulaski Rd. to Karlov Ave.
16-22-500-010-0000,S. Pulaski Rd. to Karlov Ave.
16-22-500-009-0000,S. Pulaski Rd. to Karlov Ave.
16-22-500-008-0000,S. Pulaski Rd. to Karlov Ave.
16-22-500-007-0000,S. Karlov Ave. to Keeler Ave.
16-22-500-006-0000,S. Keeler Ave. to S. Kildare Ave.
16-22-500-005-0000,S. Kildare Ave. to S. Kostner Ave.
16-22-500-004-0000,S. Kildare Ave. to S. Kostner Ave.
16-22-500-002-0000,Small piece on West side Kilbourn
16-22-420-039-0000,"2012 S. Pulaski Rd., Chgo"
16-22-311-038-0000,"Between 21st Pl. & 22nd St., East of 47th Ave."
16-22-311-032-0000,"Between 21st Pl. & 22nd St., East of 47th Ave."
16-22-309-028-0000,S. 47th Ave to S. 47th Ct.
16-22-309-014-0000,S. 47th Ave to S. 47th Ct.
16-22-308-023-0000,"S. 47th Ct. to 48th Ave.,"
16-22-308-022-0000,"S. 47th Ct. to 48th Ave.,"
16-22-308-009-0000,"S. 47th Ct. to 48th Ave.,"
16-22-300-041-0000,W. 16th St. & S. 47th Ct.
16-21-501-009-0000,"21st Place, 445' E. of 56th Ave.., Cicero"
16-21-501-008-8001,"East side of 50th St., Cicero"
16-21-501-006-8001,
16-21-501-005-0000,S. Cicero Ave. to 49th Ave.
16-21-501-002-0000,S. 52nd Ave. to S. 54th Ave.
16-21-310-032-0000,"5212 W. Cermak Rd., Cicero"
16-21-306-033-0000,Terminal & Yard
16-21-306-011-0000,Terminal & Yard
16-21-306-010-0000,Terminal & Yard
16-17-413-040-0000,NW Corner of W. Roosevelt Rd. / S. Central Ave.
16-17-411-037-0000,5842 W. Roosevelt Rd. & S. Monitor Ave.
16-15-500-051-0000,East side of Cicero
16-15-500-043-0000,Rear of 4710 W. Flournoy St.
16-15-500-042-0000,E. of Kilbourn
16-15-500-041-0000,Rear of 4700-02 W. Flournoy St.
16-15-500-037-0000,Rear of 4728-38 W. Flournoy St.
16-15-500-036-0000,Rear of 4626-36 W. Flournoy St.
16-15-500-028-0000,614 S. Keeler Ave.
16-15-500-024-0000,Kildare Ave. to Kostner Ave.
16-15-500-023-0000,Kildare Ave. to Kostner Ave.
16-15-400-033-0000,Rear of W. Harrison St.
16-15-306-042-0000,Between Kilbourn and Kenneth
16-15-305-018-0000,Rear of 4503-4511 W. Harrison St.
16-15-304-022-0000,614-616 S. Kolmar Ave.
16-15-304-012-0000,614-616 S. Kolmar Ave.
16-14-500-084-0000,East side Lawndale
16-14-500-081-0000,Rear of 3816 to 3848 W. Flournoy St.
16-14-500-080-0000,Rear of 3854 W. Flournoy St.
16-14-500-079-0000,Rear of 3900 to 3908 W. Flournoy St.
16-14-500-078-0000,Rear of 3912 to 3928 W. Flournoy St.
16-14-500-077-0000,Rear of 3632 to 3644 W. Flournoy St.
16-14-500-076-0000,Rear of 3928 W. Flournoy St.
16-14-500-075-0000,Rear of 3710 & 12 and 3716 W. Flournoy St.
16-14-500-069-0000,Rear of 3860 W. Flournoy St.
16-14-500-066-0000,Rear of 3214 W. Flournoy St.
16-14-500-065-0000,Rear of 3222 W. Flournoy St.
16-14-500-064-0000,Rear of 3236 to 3244 W. Flournoy St.
16-14-500-063-0000,Rear of 3442 to 3448 W. Flournoy St.
16-14-500-062-0000,Rear of 3442 to 3448 W. Flournoy St.
16-14-500-051-0000,Rear of 3436 W. Flournoy St.
16-14-500-044-0000,
16-14-500-032-0000,
16-14-401-059-0000,Rear of 3428 W. Flournoy St.
16-14-401-057-0000,Between Homan and St. Louis
16-14-401-053-0000,Rear of 3410 W. Flournoy St.
16-14-228-046-0000,
16-14-228-045-0000,
16-14-228-044-0000,
16-14-228-043-0000,
16-14-228-042-0000,
16-14-228-041-0000,
16-14-228-020-0000,
16-14-228-019-0000,
16-14-228-018-0000,
16-14-228-017-0000,
16-14-228-016-0000,
16-14-228-015-0000,
16-14-228-014-0000,
16-14-228-013-0000,
16-14-228-012-0000,
16-14-228-011-0000,
16-14-228-010-0000,
16-14-228-009-0000,
16-14-228-008-0000,
16-14-228-007-0000,
16-14-228-006-0000,
16-14-228-005-0000,
16-14-228-004-0000,
16-14-228-003-0000,
16-14-228-002-0000,
16-14-228-001-0000,
16-14-223-001-0000,Kedzie-Jackson-Van Buren-Spaulding (corner Lot) 002 crossed out on card
16-13-500-053-0000,Rear of 3108 to 3114 W. Flournoy St.
16-13-500-049-0000,Rear of 3126 W. Flournoy St.
16-13-500-048-0000,Rear of 3134 to 3138 W. Flournoy St.
16-13-500-047-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-046-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-045-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-044-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-043-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-042-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-041-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-040-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-039-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-038-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-037-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-036-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-035-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-034-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-033-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-032-0000,Easement to City of Chicago for Congress Expressway and Public Way
16-13-500-031-0000,CNW Railroad to Talman Ave.
16-13-500-030-0000,Talman Ave. to Washtenaw Ave.
16-13-500-029-0000,Talman Ave. to Washtenaw Ave.
16-13-500-028-0000,Washtenaw Ave. to California Ave.
16-13-500-027-0000,Washtenaw Ave. to California Ave.
16-13-500-026-0000,Washtenaw Ave. to California Ave.
16-13-500-025-0000,Washtenaw Ave. to California Ave.
16-13-500-024-0000,Washtenaw Ave. to California Ave.
16-13-500-023-0000,Washtenaw Ave. to California Ave.
16-13-500-022-0000,Washtenaw Ave. to California Ave.
16-13-500-021-0000,Washtenaw Ave. to California Ave.
16-13-500-020-0000,California Ave. to Francisco
16-13-500-019-0000,California Ave. to Francisco
16-13-500-018-0000,Francisco Ave to Sacramento Ave.
16-13-500-017-0000,Francisco Ave to Sacramento Ave.
16-13-500-016-0000,Francisco Ave to Sacramento Ave.
16-13-500-015-0000,Francisco Ave to Sacramento Ave.
16-13-500-014-0000,Francisco Ave to Sacramento Ave.
16-13-500-013-0000,Francisco Ave to Sacramento Ave.
16-13-500-006-0000,"Albany & Flournoy St. SOLD lots 27-28-29-30-31; retained lots 25, 26 & 32."
16-13-227-047-0000,Western Ave. to Campbell Ave.
16-13-227-046-0000,Western Ave. to Campbell Ave.
16-13-227-045-0000,Western Ave. to Campbell Ave.
16-13-227-044-0000,Western Ave. to Campbell Ave.
16-13-227-043-0000,Western Ave. to Campbell Ave.
16-13-227-042-0000,Western Ave. to Campbell Ave.
16-13-227-041-0000,Western Ave. to Campbell Ave.
16-13-227-040-0000,Western Ave. to Campbell Ave.
16-13-227-039-0000,Western Ave. to Campbell Ave.
16-13-226-038-0000,Campbell Ave. to Maplewood
16-13-226-037-0000,Campbell Ave. to Maplewood
16-13-226-036-0000,Campbell Ave. to Maplewood
16-13-226-035-0000,Campbell Ave. to Maplewood
16-13-226-034-0000,Campbell Ave. to Maplewood
16-13-226-033-0000,Campbell Ave. to Maplewood
16-13-226-015-0000,Campbell Ave. to Maplewood
16-13-226-006-0000,Campbell Ave. to Maplewood
16-13-225-032-0000,Maplewood Ave. to Rockwell Ave.
16-13-130-053-0000,Between Sacramento & Albany
16-13-128-066-0000,California Ave. to Francisco
16-13-128-060-0000,California Ave. to Francisco
16-13-126-055-0000,West side of Sacramento Ave.
16-13-126-054-0000,West side of Sacramento Ave.
16-13-126-053-0000,West side of Sacramento Ave.
16-13-126-050-0000,West side of Sacramento Ave.
16-11-307-015-0000,Maypole to West End. Ave.
16-11-307-012-0000,Maypole to West End. Ave.
16-11-307-011-0000,Maypole to West End. Ave.
16-11-307-006-0000,Maypole to West End. Ave.
16-11-305-017-0000,264 N. Harding Ave.
16-11-305-011-0000,241-45 North Pulaski Road
16-11-305-010-0000,241-45 North Pulaski Road
16-11-301-004-0000,"3900 West Maypole, Chgo"
16-11-301-002-0000,"3900 West Maypole, Chgo"
16-10-301-003-0000,"4750 and 4756-58 W. Lake St., Chgo"
16-10-301-002-0000,"4752 W. Lake St., Chgo"
16-10-301-001-0000,"4750 and 4756-58 W. Lake St., Chgo"
16-10-200-062-0000,4301 West Chicago Ave.
16-10-200-012-0000,4301 West Chicago Ave.
16-09-500-002-0000,Lake Street between Laramie Ave & Lockwood
16-09-301-032-0000,342-344 N. Lotus Ave.
16-09-301-031-0000,342-344 N. Lotus Ave.
16-08-418-030-0000,5950-68 W. Madison St. & N. Austin Blvd. (corner lot)
16-08-418-022-0000,5960-62 W. Madison
16-05-426-026-0000,Chicago/Austin
16-05-426-025-0000,Chicago/Austin
16-05-426-024-0000,Chicago/Austin
16-05-426-023-0000,Chicago/Austin
16-05-426-022-0000,Chicago/Austin
16-05-400-001-0000,Division & Austin
15-14-500-041-0000,
15-13-500-005-0000,Forest Park - Desplaines Ave.
15-13-500-003-0000,Forest Park - Desplaines Ave.
15-13-112-019-8001(***),Blue Line
15-13-112-018-8001(***),Blue Line
15-13-112-015-8001,
15-13-112-014-0000,
15-12-400-009-0000,Strip west of Harlem Ave.
15-12-400-007-0000,Strip west of Harlem Ave.
14-33-500-006-8001,North Ave. / Halsted St.
14-33-500-005-0000,North Ave to Halsted Street
14-33-500-004-0000,North Ave to Halsted Street
14-33-500-002-0000,North Ave to Halsted Street
14-32-500-029-0000,Halsted St. to Dayton
14-32-500-026-0000,Webster Ave. to Belden Ave.
14-32-500-025-0000,Webster Ave. to Belden Ave.
14-32-500-023-0000,Webster Ave. to Belden Ave.
14-32-500-021-0000,Halsted St. to Dayton
14-32-500-020-0000,Dayton St. to Willow St.
14-32-500-019-0000,Dayton St. to Willow St.
14-32-500-018-0000,Willow to Wisconsin St.
14-32-500-017-0000,Willow to Wisconsin St.
14-32-500-016-0000,Willow to Wisconsin St.
14-32-500-015-0000,Wisconsin St. to Armitage Ave.
14-32-500-014-0000,Wisconsin St. to Armitage Ave.
14-32-500-013-0000,Wisconsin St. to Armitage Ave.
14-32-500-012-0000,Wisconsin St. to Armitage Ave.
14-32-500-011-0000,Wisconsin St. to Armitage Ave.
14-32-500-010-0000,Wisconsin St. to Armitage Ave.
14-32-500-009-0000,Armitage Ave. to Dickens Ave.
14-32-500-008-0000,Armitage Ave. to Dickens Ave.
14-32-500-007-0000,Dickens Ave. to Webster Ave.
14-32-500-004-0000,Between Belden & Webster Ave.
14-32-407-100-0000,939 W. Armitage Ave.
14-32-225-044-0000,948 W. Armitage Ave.
14-31-500-040-0000,Between Concord Pl & North Ave
14-31-500-039-0000,Between Concord Pl & North Ave
14-31-500-038-0000,Between Concord Pl & North Ave
14-31-500-015-0000,Between Columbia Ave & Concord Pl
14-31-500-014-0000,Between Columbia Ave & Concord Pl
14-31-500-013-0000,Between Wabansia Ave & Columbia Ave.
14-31-500-012-0000,Between Wabansia Ave & Columbia Ave.
14-31-500-011-0000,Between Wabansia Ave & Columbia Ave.
14-31-500-010-0000,Between Bloomingdale Rd & Wabansia Ave.
14-31-500-009-0000,Between Bloomingdale Rd & Wabansia Ave.
14-31-500-008-0000,Between Moffat St & Bloomingdale Rd.
14-31-500-007-0000,Between Moffat St & Bloomingdale Rd.
14-31-500-006-0000,Between Western & Moffat
14-31-500-005-0000,Between Western & Moffat
14-31-500-004-0000,Between Western & Moffat
14-31-500-003-0000,Between Western & Moffat
14-31-500-002-0000,Between Western & Moffat
14-31-500-001-0000,Between Western & Moffat
14-31-308-024-0000,1903 N. Western Ave.
14-31-308-023-0000,1905 N. Western Ave.
14-29-500-042-8001 (***),945 W. Wellington Ave.
14-29-500-042-8001,Oakdale Ave. to Wellington Ave.
14-29-500-041-8001,Fletcher St. to Belmont Ave.
14-29-500-040-0000,North side of Fullerton Ave. and ROW
14-29-500-039-0000,937-39 W. Diversey Ave.
14-29-500-038-8001,Wolfram St. to George St.
14-29-500-036-0000,Lincoln Ave. to Wrightwood Ave.
14-29-500-035-0000,Schubert Ave. to Diversey St.
14-29-500-031-0000,Fullerton Ave. to Montana St.
14-29-500-030-0000,Montana St. to Altgeld
14-29-500-029-0000,Montana St. to Altgeld
14-29-500-023-0000,RT ROW Lincoln to Altgeld Avenues
14-29-500-023-0000,N.E. side of N. Lincoln ave.
14-29-500-022-0000,N.E. side of N. Lincoln ave.
14-29-500-020-0000,Wrightwood Ave. to Schubert Ave.
14-29-500-019-0000,Wrightwood Ave. to Schubert Ave.
14-29-500-018-0000,Wrightwood Ave. to Schubert Ave.
14-29-500-017-0000,Wrightwood Ave. to Schubert Ave.
14-29-500-015-0000,S. of Diversey St.
14-29-500-014-0000,Diversey to Wolfram St.
14-29-500-013-0000,Diversey to Wolfram St.
14-29-500-011-0000,Wolfram St. to George St.
14-29-500-010-0000,George St. to Oakdale Ave.
14-29-500-009-0000,George St. to Oakdale Ave.
14-29-500-007-0000,Wellington Ave. to Barry Ave.
14-29-500-006-0000,Wellington Ave. to Barry Ave.
14-29-500-005-0000,Wellington Ave. to Barry Ave.
14-29-500-004-0000,Barry Ave. to Fletcher St.
14-29-500-003-0000,Barry Ave. to Fletcher St.
14-29-500-002-0000,Fletcher St. to Belmont Ave.
14-29-427-075-0000,936-38 W. Fullerton Ave.
14-29-427-073-0000,961 W. Montana St.
14-29-419-051-0000,Lincoln Ave. to Wrightwood Ave.
14-29-419-050-0000,Lincoln Ave. to Wrightwood Ave.
14-29-419-049-0000,Lincoln Ave. to Wrightwood Ave.
14-29-404-024-0000,2740 N. Wilton Ave.
14-29-404-023-0000,2744 N. Wilton Ave.
14-29-404-006-0000,945-47 W. Diversey Ave.
14-29-217-014-0000,919 W. Wellington Ave.
14-29-211-044-0000,924 W. Wellington Ave.
14-29-206-085-0000,944-46 W. Barry Ave.
14-29-206-031-0000,936 W. Barry Ave.
14-29-206-005-0000,935 W. Fletcher St.
14-29-206-004-0000,937 W. Fletcher St.
14-29-206-003-0000,947 W. Fletcher St.
14-29-204-046-0000,945 W. Belmont Ave.
14-29-204-045-0000,934 W. Fletcher St.
14-29-204-014-0000,936 W. Fletcher St.
14-21-313-051-0000,3211-17 N. Halsted St. & 748-50 W. Belmont
14-21-313-034-0000,3211-17 N. Halsted St. & 748-50 W. Belmont
14-21-104-003-0000,"3721-25 N. Halsted St., N. of W. Waveland Ave."
14-20-502-019-0000,Seminary to Sheffield
14-20-502-018-0000,Sheffield to Roscoe
14-20-502-017-0000,Sheffield to Roscoe
14-20-502-016-0000,Sheffield to Roscoe
